SID,COHORT_YEAR,COHORT_TERM,STUDENT_TYPE,GRADUATION_YEAR,GRADUATION_TERM,COLLEGE_CODE,COLLEGE,DEPARTMENT_CODE,DEPARTMENT
3I60IPKLV,2013,Fall,TRN,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
RJU7XX8AZ,2011,Fall,TRN,2014,Spring,LIB,Liberal Arts,A/ST,Asian Studies
X52BPMP4P,2011,Fall,TRN,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
26HT46QS2,2014,Fall,TRN,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
9GRHMES09,2014,Fall,TRN,2017,Fall,LIB,Liberal Arts,A/ST,Asian Studies
3Z1CCYP0V,2014,Fall,FYS,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
XEQY230YA,2020,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
0XG29VZCY,2015,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
GSUXUIU8M,2017,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
EV1BP8MG4,2020,Spring,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
5V3ZD4TNU,2014,Fall,TRN,2016,Fall,LIB,Liberal Arts,A/ST,Asian Studies
2PDNFFIDA,2014,Fall,TRN,2016,Fall,LIB,Liberal Arts,A/ST,Asian Studies
2Z417UIR3,2013,Fall,FYS,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
KD07IS4F0,2013,Fall,FYS,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
VIEIXVHXT,2018,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
EN3ORW0ID,2012,Fall,TRN,2014,Fall,LIB,Liberal Arts,A/ST,Asian Studies
PJVGSFWAK,2012,Fall,TRN,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
LJK2ZLFQ5,2017,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
X2INBDTYI,2011,Fall,FYS,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
H3NMZ7357,2018,Fall,TRN,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
9LVD7FD59,2019,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
OB9ZFOW98,2019,Fall,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
1SDLB2KGL,2010,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
AABRAZHSX,2010,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
BUQ8HDGY8,2014,Fall,TRN,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
9J31P9IEU,2015,Fall,TRN,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
2AZEVE18Y,2015,Fall,TRN,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
0UCFAJOI6,2013,Fall,FYS,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
EIWIXH8JX,2014,Fall,FYS,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
SJHAQQ68D,2018,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
9BSD8EPH8,2018,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
Q87DHPQVT,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
3V5QXURQ2,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
WF70YIYF3,2019,Spring,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
KJL2HTX6A,2018,Fall,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
A64TG2ZKC,2013,Fall,TRN,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
ICVLFH6HP,2011,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
B27V8DSF8,2012,Fall,FYS,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
XX7EU06LR,2014,Fall,FYS,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
53CEL59L0,2017,Fall,TRN,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
7OA73K61G,2017,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
I78DYWXR2,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
E5WRHL7XQ,2018,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
J61L40QYK,2014,Fall,TRN,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
95A7A31DF,2013,Fall,FYS,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
07TZPQR1J,2011,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
VDU0ZPPBO,2011,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
SCH1JWNJY,2014,Fall,TRN,2017,Fall,LIB,Liberal Arts,A/ST,Asian Studies
V45PJTTX8,2016,Fall,TRN,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
7R8L6Z5JP,2017,Spring,TRN,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
SRIT9703K,2015,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
OFKZEOGOI,2018,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
8XCMM7GYV,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
4H49GIJI5,2012,Fall,FYS,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
R3VD0N9D3,2012,Spring,TRN,2013,Fall,LIB,Liberal Arts,A/ST,Asian Studies
PKNKON5K1,2015,Fall,TRN,2017,Fall,LIB,Liberal Arts,A/ST,Asian Studies
8JS056MX4,2014,Fall,FYS,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
7H2EFN9X3,2014,Fall,FYS,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
5IZ0WB7O3,2018,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
N8JG4DSTH,2013,Fall,FYS,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
NNIWWOKDA,2018,Fall,TRN,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
YNB12AV31,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
N4CFIVUP8,2011,Spring,FYS,2015,Fall,LIB,Liberal Arts,A/ST,Asian Studies
P86WXMAZ5,2012,Fall,TRN,2014,Fall,LIB,Liberal Arts,A/ST,Asian Studies
IK6X0CPAB,2013,Spring,FYS,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
U1PQ7IPTP,2013,Fall,FYS,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
B2S9L650K,2014,Fall,FYS,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
MJXQ4XVY1,2017,Fall,TRN,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
JV643HGW5,2016,Fall,FYS,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
MY6CTZMWQ,2016,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
S7JN7U69C,2017,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
9GVDHZMV6,2018,Fall,TRN,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
LBD68KNQ6,2019,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
N7T81N5FB,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
RBVHM3C6O,2011,Spring,TRN,2013,Spring,LIB,Liberal Arts,A/ST,Asian Studies
25LPRFKEE,2014,Fall,FYS,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
PLX3W0BJD,2010,Fall,TRN,2012,Fall,LIB,Liberal Arts,A/ST,Asian Studies
SX8N3Q034,2014,Fall,FYS,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
WRVR4DU5P,2017,Spring,TRN,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
245K56F1E,2016,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
ORH89B5ZT,2018,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
EHU4RC2EW,2019,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
23E003XU5,2014,Fall,TRN,2016,Spring,LIB,Liberal Arts,A/ST,Asian Studies
82IDZRM8D,2011,Spring,FYS,2016,Fall,LIB,Liberal Arts,A/ST,Asian Studies
3FUQZN6TK,2012,Fall,TRN,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
UZEV3MTAW,2012,Fall,TRN,2016,Spring,LIB,Liberal Arts,A/ST,Asian Studies
IFMNK1CRL,2016,Fall,TRN,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
ZBQ0I1Q3B,2014,Fall,FYS,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
N6ATOZYH4,2018,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
N6ATOZYH4,2018,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
EDKVIS510,2011,Fall,FYS,2015,Fall,LIB,Liberal Arts,A/ST,Asian Studies
WWMDNTR8K,2012,Fall,TRN,2016,Spring,LIB,Liberal Arts,A/ST,Asian Studies
R3MKCIIVH,2016,Fall,TRN,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
4C8DXIRM5,2014,Fall,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
4C8DXIRM5,2014,Fall,TRN,2016,Fall,LIB,Liberal Arts,PSY,Psychology
VD80FK8X1,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
PXSOVTF06,2010,Fall,FYS,2014,Spring,LIB,Liberal Arts,A/ST,Asian Studies
52X9ZEAZH,2011,Spring,FYS,2014,Fall,LIB,Liberal Arts,A/ST,Asian Studies
LDHD3RTTX,2015,Fall,FYS,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
Z02NMPC8X,2012,Fall,FYS,2015,Fall,LIB,Liberal Arts,A/ST,Asian Studies
MN33NBT3A,2010,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
T8410P41X,2019,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
BMUK1BM8R,2017,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
OPTDHNDSP,2016,Fall,TRN,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
X7QCLP049,2019,Fall,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
1NHTXPZ7Q,2012,Fall,TRN,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
1ZAMCP79F,2010,Fall,FYS,2016,Spring,LIB,Liberal Arts,A/ST,Asian Studies
VQYKY45K3,2012,Fall,TRN,2014,Fall,LIB,Liberal Arts,A/ST,Asian Studies
DNNF4TZPI,2016,Fall,TRN,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
WMU84MZYU,2019,Spring,TRN,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
KS3J3OFJ6,2011,Spring,TRN,2014,Spring,LIB,Liberal Arts,A/ST,Asian Studies
2SRBGS1TL,2016,Spring,TRN,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
6XIX3X6MQ,2015,Fall,TRN,2017,Fall,LIB,Liberal Arts,A/ST,Asian Studies
CM1OLY842,2015,Fall,FYS,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
8ET40DWDN,2010,Fall,TRN,2012,Spring,LIB,Liberal Arts,A/ST,Asian Studies
VTIP8LP2R,2011,Fall,TRN,2014,Fall,LIB,Liberal Arts,A/ST,Asian Studies
JLWF5TDRE,2012,Fall,TRN,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
JQBMN6RI4,2020,Spring,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
K8GHG6UMS,2011,Fall,TRN,2013,Spring,LIB,Liberal Arts,A/ST,Asian Studies
B2SB265YM,2010,Fall,FYS,2014,Fall,LIB,Liberal Arts,A/ST,Asian Studies
9TA5UUDMA,2013,Fall,TRN,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
7KUZFXU7D,2014,Fall,TRN,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
RMJAJ8ZZJ,2010,Fall,TRN,2012,Spring,LIB,Liberal Arts,A/ST,Asian Studies
F6S7DCS4M,2012,Fall,FYS,2017,Fall,LIB,Liberal Arts,A/ST,Asian Studies
BJTXE3GAR,2018,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
NGXOOZ619,2017,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
9FNTTMCE8,2018,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
IGA3L1TX7,2019,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
9VDQVNTYN,2012,Fall,TRN,2014,Fall,LIB,Liberal Arts,A/ST,Asian Studies
QNN7EGEAL,2014,Fall,TRN,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
O4U1AQL8C,2013,Fall,FYS,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
LZE2R2GEM,2017,Fall,TRN,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
CTVLN1CHY,2019,Fall,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
P0YPQ4B0Z,2012,Fall,TRN,2015,Fall,LIB,Liberal Arts,A/ST,Asian Studies
2I9I5D7PP,2013,Fall,TRN,2016,Spring,LIB,Liberal Arts,A/ST,Asian Studies
D5XLT1CBS,2011,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
G0711DA2I,2010,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
AU3I4VDCQ,2016,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
F41CEOAFA,2018,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
J7M2A4CJ3,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
X9YW14JYG,2012,Fall,FYS,2017,Fall,LIB,Liberal Arts,A/ST,Asian Studies
6UHMP122Q,2017,Fall,TRN,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
SGWTZBG7X,2017,Fall,TRN,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
DT0YGYG29,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
87ABCJWMZ,2012,Fall,TRN,2014,Fall,LIB,Liberal Arts,A/ST,Asian Studies
ULX21TMX9,2014,Fall,TRN,2016,Fall,LIB,Liberal Arts,A/ST,Asian Studies
VXKJWFNEO,2011,Spring,TRN,2013,Spring,LIB,Liberal Arts,A/ST,Asian Studies
C6X3L67ZC,2013,Fall,TRN,2016,Spring,LIB,Liberal Arts,A/ST,Asian Studies
7WC6KMSCO,2014,Fall,TRN,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
A556NQKK3,2013,Fall,FYS,2018,Spring,LIB,Liberal Arts,A/ST,Asian Studies
DRUJBD2RD,2016,Spring,TRN,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
8AA249QL6,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
KIMTLUKZV,2012,Spring,TRN,2013,Fall,LIB,Liberal Arts,A/ST,Asian Studies
61B6Q1AS9,2011,Spring,TRN,2013,Fall,LIB,Liberal Arts,A/ST,Asian Studies
ED0W8FZBZ,2016,Fall,TRN,2017,Fall,LIB,Liberal Arts,A/ST,Asian Studies
C4QGHYJ7L,2020,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
DZH0R1JPQ,2017,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
2BLW5AFUT,2011,Spring,TRN,2016,Fall,LIB,Liberal Arts,A/ST,Asian Studies
WB11SI3FM,2010,Fall,FYS,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
4QPJ42GSO,2012,Fall,TRN,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
TDGPM908F,2015,Spring,TRN,2017,Fall,LIB,Liberal Arts,A/ST,Asian Studies
OZLD96ENA,2016,Fall,FYS,2020,Spring,LIB,Liberal Arts,A/ST,Asian Studies
S5ONZXS2F,2016,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
AC7SH2HBZ,2012,Fall,FYS,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
B72XL2KO6,2017,Fall,TRN,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
4JMDRU7Y4,2015,Fall,FYS,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
LXKHEQ0OG,2016,Fall,TRN,2018,Fall,LIB,Liberal Arts,A/ST,Asian Studies
IALEEM9ZR,2011,Fall,FYS,2015,Spring,LIB,Liberal Arts,A/ST,Asian Studies
0RTHTP5CA,2011,Fall,TRN,2014,Spring,LIB,Liberal Arts,A/ST,Asian Studies
2LXFGIFCJ,2011,Spring,FYS,2014,Fall,LIB,Liberal Arts,A/ST,Asian Studies
PCJ1JCPHQ,2014,Fall,TRN,2017,Spring,LIB,Liberal Arts,A/ST,Asian Studies
LRTL669YN,2017,Fall,TRN,2019,Spring,LIB,Liberal Arts,A/ST,Asian Studies
20GFBGCF4,2011,Fall,TRN,2013,Spring,LIB,Liberal Arts,A/ST,Asian Studies
JXAH8VTTL,2014,Fall,FYS,2019,Fall,LIB,Liberal Arts,A/ST,Asian Studies
V095PQO52,2011,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
V095PQO52,2011,Fall,TRN,2013,Spring,LIB,Liberal Arts,HIST,History
0SA2VZRM0,2018,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
6A4QFM72I,2015,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
2UC2X91B9,2014,Fall,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
2UC2X91B9,2014,Fall,TRN,2016,Fall,LIB,Liberal Arts,LING,Linguistics
6EBC3M4Y7,2017,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
VD01872D2,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
9GDD40TWF,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
JIXLNVXZE,2019,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
VBXSS1PNW,2019,Fall,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
UHIJCN5W9,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
HP98A5QRR,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
7BJ1KMWBO,2016,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
Z7PBKICN8,2014,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
VTUHR1TFH,2016,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
47AAYI99V,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
BZOKT44CN,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
M0Y7GJ39A,2018,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
PAAD28RN6,2017,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
IC61NO7MX,2016,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
14UM8PIS9,2016,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
QVAJNFSJR,2017,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
EL4D9GBOC,2018,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
VGVL3DNHY,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
4L2PV9BRS,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
QS2BP7EL7,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
DOUGNDJYS,2016,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
2DI5Z7158,2014,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
2DI5Z7158,2014,Fall,FYS,2019,Spring,ENG,Engineering,C E,Civil Engineering
W2J351O2S,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
WPVV3JIAN,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
HFSH3OL5O,2020,Spring,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
4I7UUILMS,2017,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
M3GBR5K6X,2016,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
BRDBKQHUY,2016,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
A50OH2ZA7,2016,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
TR6MP6Y2D,2016,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
E1BY0HQAF,2018,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
CDEEDCXJ7,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
CX9MRIUUX,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
0844OKC88,2017,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
43NJDXTMA,2017,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
60LZSNLFK,2020,Fall,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
1WH1KZNZR,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
A985YEUEO,2019,Fall,TRN,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
94EMMGAOI,2019,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
81YWRF3G0,2018,Fall,FYS,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
32445X9KE,2019,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
WBBZVOJO2,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
NXDLQHBBT,2016,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
B4DB7QEU5,2016,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
KITTW74W7,2017,Fall,TRN,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
V1GGDBM0D,2016,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
TXV0K3HLP,2016,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
3EAU24USI,2017,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
INONWCPN8,2017,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
U3V2ADF5S,2019,Fall,TRN,2022,Spring,LIB,Liberal Arts,A/ST,Asian Studies
EAQOB841C,2016,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
OL8KP7F61,2016,Fall,FYS,2021,Spring,LIB,Liberal Arts,A/ST,Asian Studies
MTZO124IU,2017,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
R4HJ8SHTW,2017,Fall,FYS,2021,Fall,LIB,Liberal Arts,A/ST,Asian Studies
L53OYQXMP,2016,Fall,FYS,2020,Fall,LIB,Liberal Arts,A/ST,Asian Studies
V0ME70C1F,2010,Fall,FYS,2017,Spring,BUS,Business,ACCT,Accounting
IJ498VXEY,2012,Fall,TRN,2016,Spring,BUS,Business,ACCT,Accounting
DXCSBHUGV,2011,Spring,TRN,2013,Spring,BUS,Business,ACCT,Accounting
KTBBUW2FU,2011,Fall,TRN,2013,Fall,BUS,Business,ACCT,Accounting
CPZOTTTLW,2013,Fall,TRN,2015,Fall,BUS,Business,ACCT,Accounting
1CIE3WXXW,2014,Fall,TRN,2016,Fall,BUS,Business,ACCT,Accounting
5Z122RIMC,2012,Fall,TRN,2015,Spring,BUS,Business,ACCT,Accounting
GMV1PUERK,2011,Fall,FYS,2016,Spring,BUS,Business,ACCT,Accounting
AYNJ9VX64,2013,Fall,TRN,2016,Spring,BUS,Business,ACCT,Accounting
0D61XV5O9,2010,Fall,FYS,2015,Spring,BUS,Business,ACCT,Accounting
OHAZUHNUE,2011,Fall,FYS,2016,Spring,BUS,Business,ACCT,Accounting
6LVR8DT98,2010,Fall,FYS,2017,Spring,BUS,Business,ACCT,Accounting
9M6QO9KZR,2011,Fall,TRN,2014,Spring,BUS,Business,ACCT,Accounting
RAG4WXTQK,2013,Fall,TRN,2015,Fall,BUS,Business,ACCT,Accounting
PGPBR1V7Q,2011,Fall,TRN,2013,Fall,BUS,Business,ACCT,Accounting
733HTX8TI,2011,Spring,TRN,2013,Fall,BUS,Business,ACCT,Accounting
YFC0EHW1M,2013,Fall,TRN,2016,Spring,BUS,Business,ACCT,Accounting
POIGRRDDK,2012,Fall,FYS,2017,Spring,BUS,Business,ACCT,Accounting
5ZM59SILO,2013,Fall,TRN,2016,Spring,BUS,Business,ACCT,Accounting
VMEZTULX9,2013,Fall,TRN,2015,Fall,BUS,Business,ACCT,Accounting
Z24QYO8HO,2010,Fall,TRN,2013,Spring,BUS,Business,ACCT,Accounting
XUZSIOF2K,2011,Spring,TRN,2012,Fall,BUS,Business,ACCT,Accounting
TP4MPQ1FT,2011,Fall,TRN,2013,Fall,BUS,Business,ACCT,Accounting
1BJIXWVHT,2014,Fall,TRN,2017,Spring,BUS,Business,ACCT,Accounting
0CQ7HUCL2,2011,Spring,TRN,2013,Fall,BUS,Business,ACCT,Accounting
LH9SJ5UKZ,2010,Fall,FYS,2015,Spring,BUS,Business,ACCT,Accounting
66AN0OHWW,2014,Fall,TRN,2017,Spring,BUS,Business,ACCT,Accounting
A5ITC91KJ,2010,Fall,FYS,2015,Spring,BUS,Business,ACCT,Accounting
6R91U7R1K,2011,Fall,TRN,2014,Spring,BUS,Business,ACCT,Accounting
ARZKK7XJ3,2012,Fall,FYS,2017,Spring,BUS,Business,ACCT,Accounting
LGZ394V73,2013,Fall,TRN,2016,Fall,BUS,Business,ACCT,Accounting
8UNP1WLAA,2012,Fall,FYS,2017,Spring,BUS,Business,ACCT,Accounting
T2LF2E0JL,2011,Fall,FYS,2015,Fall,BUS,Business,ACCT,Accounting
GY8ZFTTGA,2012,Spring,TRN,2014,Spring,BUS,Business,ACCT,Accounting
WJVGHYRVG,2014,Fall,TRN,2016,Spring,BUS,Business,ACCT,Accounting
VREGE9IEH,2010,Fall,TRN,2013,Fall,BUS,Business,ACCT,Accounting
50E4X2CGW,2013,Fall,TRN,2016,Fall,BUS,Business,ACCT,Accounting
